name,gnd,profession,id
"Halusa, Josef Kuno",1156960576,Politiker,person__3247
"Kolassa, Viktor",1272434346,Politiker,person__3318
"Seipel, Ignaz",11861293X,Politiker,person__3319
"Zimmermann, Alfred Rudolph",133794962,Politiker,person__3329
"König, Berthold",128025085,Politiker,person__3332
"Waber, Leopold",130170429,Politiker,person__3334
"Schürff, Hans",1033101540,Politiker,person__3335
"Straffner, Sepp",132773074,Politiker,person__3336
"Karrer, Bruno",135443016,Politiker,person__3353
"Löwenthal, Josef von",133661733,Politiker,person__3374
"Klimburg, Otto von",136053904,Politiker,person__3376
"Callenberg, Ludwig Heidenreich von",1038761417,Politiker,person__3379
"Proksch, Ferdinand",13923795X,Politiker,person__3384
"Wimmer, Ferdinand von",1225370043,Politiker,person__3488
"Höfenmayer, Franz",130182907,Politiker,person__3554
"Pogatschnigg, Valentin",116250534,Politiker,person__3566
"Schachermayer, Walter",109743881,Politiker,person__3590
"Klug, Ulrich",118563483,Politiker,person__3614
"Pauernfeindt, Christian",1033880191,Politiker,person__3641
"Howanski, Emil",133566854,Politiker,person__3660
"Semara, Luna",1152826921,Politiker,person__3663
Basta,1250943825,Politiker,person__3677
"Köhler, Rolf",1344399436,Politiker,person__3695
Bittner,1158632797,Politiker,person__3804
Hoetzel,127775331,Politiker,person__3839
"Hainisch, Marianne",116393289,Politiker,person__3856
"Höfler, Alois",116925272,Politiker,person__3857
"Glanz von Eicha, Egon",1011357763,Politiker,person__3866
"Pipitz, Franz Ernst",119072882,Politiker,person__3867
"Ledochowski, Karl",1198943610,Politiker,person__3874
"Skokan, Franz",117424560,Politiker,person__3879
"Fries-Skene, Alfred von",144034190,Politiker,person__3880
"Kienle, Markus",120524880,Politiker,person__3900
"Aigner von Aigenhofen, Artur",125883404,Politiker,person__598
"Angermayer, Carl",1074530241,Politiker,person__602
"Balling, Karl",125036337,Politiker,person__605
"Biber, Ludwig",1255161639,Politiker,person__612
"Bock, Marie",126213534,Politiker,person__615
"Brabbée, Richard",126227209,Politiker,person__619
Czermak,1243890169,Politiker,person__629
"Feldmann, Johann",1024399001,Politiker,person__647
"Fischer, Ignaz",1124266968,Politiker,person__650
"Gärtner, Sophie",1378677609,Politiker,person__661
"Gröbner, Johann",1327661691,Politiker,person__671
"Grün, Heinrich",131829742,Politiker,person__676
"Hammerschmid, Josef",172782759,Politiker,person__687
"Hein, Oskar",122461584,Politiker,person__692
Heumann,1226118887,Politiker,person__699
"Hödl, Josef",132667371,Politiker,person__703
"Hoedl, Richard",140333665,Politiker,person__704
"Hohensinner, Oswald",136784062,Politiker,person__706
"Jenschik, Anton",1340943255,Politiker,person__717
"Jorde, Julius",1023794381,Politiker,person__719
"Karasek, Franz",129202827,Politiker,person__722
"Kerner, Karl",1343235340,Politiker,person__726
"Kikisch, Kurt",1146596855,Politiker,person__730
"Kokrda, Quirin",1123817537,Politiker,person__732
"Kotek, Georg",129218421,Politiker,person__740
"Masopust, Josef",1037883454,Politiker,person__763
"Moißl, Alois",1361359269,Politiker,person__774
"Neunteufel, Raimund",126617023,Politiker,person__782
"Nübel, Franz Anton Heinrich",1352296683,Politiker,person__783
"Odehnal, Franz",1024714837,Politiker,person__785
"Plaschkes, Leopold",1026198755,Politiker,person__800
"Pokorny, Johann",1019309229,Politiker,person__802
"Pölzer, Amalie",1026394910,Politiker,person__804
"Popp, Adelheid",118595792,Politiker,person__806
"Proft, Gabriele",120740729,Politiker,person__808
"Rehak, Florian",1295224887,Politiker,person__818
"Reumann, Jakob",1014062276,Politiker,person__821
Roedler,1117165930,Politiker,person__825
"Rott-Rott, Hans",132967233X,Politiker,person__828
"Rummelhardt, Karl",1028828276,Politiker,person__831
"Scheu, Gustav",129263745,Politiker,person__833
Schlesinger,1243994495,Politiker,person__835
"Schmid, Carlo",118608606,Politiker,person__836
"Schmid, Carlo",118608606,Politiker,person__837
"Schorsch, Johann",1121689876,Politiker,person__843
"Schulz, Fritz O. H.",127288139,Politiker,person__845
"Schwarz-Hiller von Jiskor, Rudolf",103347374X,Politiker,person__850
"Schwer, Hans Arnold",117419524,Politiker,person__851
"Motzko, Alma",127977279,Politiker,person__855
"Sobitschka, Cölestin",1034855239,Politiker,person__863
"Spängler, Ludwig",1035349973,Politiker,person__866
"Stangelberger, Franz",128014466,Politiker,person__869
"Tandler, Julius",118620657,Politiker,person__876
"Täubler, Alexander",1158270682,Politiker,person__877
"Vaugoin, Karl",118804022,Politiker,person__891
"Waldner, Viktor",1207042226,Politiker,person__896
"Walter, Gabriele",120010577,Politiker,person__899
"Widholz, Laurenz",1147998264,Politiker,person__908
"Wildner, Franz",1234157179,Politiker,person__909
"Wilfling, August",133807649,Politiker,person__910
"Witzmann, Franz",122895134,Politiker,person__914
"Zatka, Jaroslav",1062181468,Politiker,person__919
"Zimmerl, Franz",126944849,Politiker,person__921
"Zweig, Egon",116000899,Politiker,person__923
"Boog, Adolf von",1314980769,Politiker,person__924
"Lehmann, Arthur",130554928,Politiker,person__929
"Vittorelli, Paul von",128287152,Politiker,person__935
"Loewenfeld-Russ, Hans",118813692,Politiker,person__936
"Stöger-Steiner von Steinstätten, Rudolf",1019652462,Politiker,person__938
"Kanik, Franz",1013094328,Politiker,person__941
"Flotow, Ludwig von",118534068,Politiker,person__942
Schrott,12796827X,Politiker,person__953
